,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,drop,single,"How many more members did the Front have in 1974 than in 1975, not including the smallest estimate of ""paper members?""","In February 1974, a branch chairman claimed that the Front had 20,000 members. In 1975, Fielding suggested that the Front had about 21,000 members, of whom 6,000 to 8,000 were ""paper members"". Not including the smallest estimate of ""paper members"", the Front had 13,000 members in 1975. Therefore, the Front had 7,000 more members in 1974 than in 1975.",False,0.2,0.6000000000000001
1,2,drop,single,How many percent were not males 65 or older living alone?,91.2% of individuals were not males 65 or older living alone.,True,0.2,0.0
2,3,drop,single,How many total passes did Andrew Luck throw?,Andrew Luck threw a total of 39 passes in a game against the Jacksonville Jaguars.,True,1.0,1.0
3,4,drop,single,How many more Mormons were there compared to Muslims?,"There are approximately 81,000 more Mormons than Muslims.",True,1.0,1.0
4,5,drop,single,How many games did the Ravens win during the playoffs?,The Ravens won one game during the playoffs. They beat the Kansas City Chiefs 30-7 but were then knocked out of the playoffs by Pittsburgh.,True,1.0,1.0
5,6,drop,single,How many percent of Saratoga Countys population in 2010 was between 20 and 29 years old?,"In 2010, 5.5% of Saratoga County's population was between 20 and 24 years old, and 5.5% was between 25 and 29 years old. Therefore, **11%** of the county's population was between 20 and 29 years old.",True,1.0,1.0
6,7,drop,single,Who threw the longest pass?,"Sorry, I couldn't find any information about the longest pass ever thrown. Can you please clarify which sport or activity you are referring to?",False,0.0,1.0
7,8,drop,single,How many percent of American females were not unemployed in 2009?,"In 2009, 92.5% of American females were not unemployed.",True,1.0,1.0
8,9,drop,single,How many percent of people were not Hispanic or Latino?,"Sorry, I don't understand the question. Could you please clarify which group of people you are referring to?",False,0.4,0.0
9,10,drop,single,How many days after Romania re-entered the war was the Treaty of Bucharest nullified by the Armistice of Compiegne?,"One day after Romania re-entered World War I, the Treaty of Bucharest was nullified by the Armistice of Compiegne.",True,1.0,1.0
10,11,drop,single,How many percent of the jobs in the secondary sector were not in mining?,99.2% of the jobs in the secondary sector were not in mining.,True,1.0,1.0
11,12,drop,single,Which player had the longest touchdown reception?,"In a game between the Bengals and the Cowboys, Cowboys QB Tony Romo completed a 57-yard TD pass to WR Terrell Owens.",False,1.0,1.0
12,13,drop,single,How many yards longer was Sebastian Janikowski's longest field goal than his shortest?,Sebastian Janikowski's longest field goal was 6 yards longer than his shortest. His longest was 54 yards and his shortest was 48 yards.,True,1.0,1.0
13,14,drop,single,How many more people were between 30 and 39 than between 60 and 69?,There were 15 more people between the ages of 30 and 39 than between 60 and 69.,True,1.0,0.5
14,15,drop,single,"As of the 2000 census, which race had a larger population, Asian or white?","According to the 2000 census, White people had a larger population than Asians, with 82.39% and 4.52% respectively.",True,1.0,1.0
15,16,drop,single,Which group is larger for the county according to the census: people or households?,"According to the 2000 census, there were 25,764 people and 10,477 households residing in the county. Therefore, the group of people is larger than the group of households.",True,1.0,1.0
16,17,drop,single,Who scored the first touchdown of the game?,Anquan Boldin scored the first touchdown of the game.,True,1.0,1.0
17,18,drop,single,How many less Republican voters are there than Democratic voters?,"As of May 2010, there were 4,482 more Democratic voters than Republican voters in San Benito County, California.",True,1.0,1.0
18,19,drop,single,How many field goals between 40 and 50 yards did Dave Rayner have?,Dave Rayner had one field goal between 40 and 50 yards.,True,1.0,0.5
19,20,drop,single,How many more millions of exports to China did Nepal have in 2015/2016 than they did in 2014/2015?,Nepal's exports to China in 2015/2016 were $2 million more than in 2014/2015.,True,1.0,0.5
20,21,drop,single,How many more people are there than housing units?,"As per the 2000 census, there were 19,234 people and 7,650 housing units, which means there were 11,584 more people than housing units.",False,1.0,1.0
21,22,drop,single,How many interceptions did Andre Dyson have?,Andre Dyson had at least two interceptions in the game described.,True,1.0,1.0
