,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,hotpot,multi,Which band was formed first Killing Joke or Acceptance ?,"Killing Joke was formed in 1978, while Acceptance was formed in 1998. Therefore, Killing Joke was formed first.",True,1.0,1.0
1,2,hotpot,multi,"What album did John Lennon release before the one that contained the song ""How?""","John Lennon released the album ""John Lennon/Plastic Ono Band"" before the album ""Imagine"", which contained the song ""How?"".",True,1.0,1.0
2,3,hotpot,multi,"The lead of the CBS series ""I Had Three Wives"" played what role in ""Godspell""?","The lead of the CBS series ""I Had Three Wives"" was Victor Garber, who played Jesus in ""Godspell"".",True,1.0,1.0
3,4,hotpot,multi,Who created the manga series originally serialized from 1994-1995with a superheroine?,"Tonde Burin (とんでぶーりん, Tonde Būrin) is a superheroine magical girl manga series created by Taeko Ikeda. It was originally serialized in Shogakukan's Shōjo magazine ""Ciao"" from August 1994 to September 1995, collecting into 3 Tankobon Volumes. An anime series based on the manga was created by Nippon Animation and was broadcast on all MBS stations in Japan from September 3, 1994 through August 26, 1995.",True,1.0,1.0
4,5,hotpot,multi,In what group was the writer of Songs and Dances of Death in?,"The writer of Songs and Dances of Death was Modest Petrovich Mussorgsky, who was part of the group known as ""The Five"".",True,1.0,1.0
5,6,hotpot,multi,"Which university, attended by Jonas Tilly, is part of California's three-system public higher education plan?","Jonas Tilly studied at the University of California, which is part of California's three-system public higher education plan. The other two systems are the California State University system and the California Community Colleges System.",True,1.0,1.0
6,7,hotpot,multi,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?","The dialect spoken in the province of Scania that calls Spettekaka, ""spiddekaga"" is Scanian. Scanian is a closely related group of South Swedish dialects spoken in the province of Scania in southern Sweden.",True,1.0,1.0
7,8,hotpot,multi,This Fox News Specialist Host also took over what Fox Business Channel news program in 2013?,"Eric Thomas Bolling took over as host of the Fox Business Channel news program ""Cashin' In"" in 2013.",True,1.0,1.0
8,9,hotpot,multi,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?","The American singer, songwriter and record producer who contributed to the single ""Marvin Gaye"" with Julie Frost is Charlie Puth. Puth co-produced and performed the 2015 song ""See You Again"" with Wiz Khalifa for the ""Furious 7"" soundtrack.",True,1.0,1.0
9,10,hotpot,multi,"Edward Marszewski is the editor-in-chief of Lumpen, who is the editor-in-chief of Saveur?",Edward Marszewski is the editor-in-chief of Lumpen. The editor-in-chief of Saveur is James Oseland.,False,0.0,0.5
10,11,hotpot,multi,The 2012–13 Boston Celtics season was marred by an occurence which took the lives of how many people?,"The 2012-13 Boston Celtics season was marred by the Boston Marathon bombing, which took the lives of three people.",True,1.0,0.5
11,12,hotpot,multi,"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?","The actor who plays Will Graham in the series Hannibal is Hugh Dancy. Hugh Dancy's father is Jonathan Peter Dancy, a philosophy professor and writer.",True,1.0,1.0
12,13,hotpot,multi,Who preceded the man who had the Nassak Diamond cut and placed into the handle of his sword?,"The Nassak Diamond was placed in the handle of the 1st Marquess of Westminster's dress sword. The 1st Marquess of Westminster was Robert Grosvenor, who succeeded his father, the 1st Earl Grosvenor, in 1802.",True,1.0,1.0
13,14,hotpot,multi,"Which is published in France, Avantages or InStyle?","Avantages is a French-language monthly women's magazine published in Paris, France. It is one of the most read women's magazines in the country and is the French edition of the British magazine ""Essentials"".
InStyle is a monthly women’s fashion magazine published in the US by Time Inc. ""InStyle"" was founded in 1994. The British edition launched in 2001, following the success of the magazine in the US.",True,1.0,1.0
14,15,hotpot,multi,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",The BMW X5 is a mid-size luxury crossover SUV that was produced alongside the BMW X6 in 2009.,True,1.0,1.0
15,16,hotpot,multi,"What role did Veda Hlubinka-Cook have in the making of this 1997 video game that takes place on the Orient Express, days before the start of World War I?","Veda Hlubinka-Cook was the technical director for the computer game ""The Last Express"", which was published in 1997. The game takes place on the Orient Express, days before the start of World War I.",False,1.0,1.0
16,17,hotpot,multi,What army did the namesake of the ship launched as the München in 1930 fight in during the American Revolutionary War?,"The namesake of the ship launched as the München in 1930 was Friedrich Wilhelm August Heinrich Ferdinand Steuben, also referred to as the Baron von Steuben. He served as inspector general and major general of the Continental Army during the American Revolutionary War.",True,1.0,1.0
17,18,hotpot,multi,What game did the team with an 11-1 regular season record play in for the BCS title game?,The team with an 11-1 regular season record played in the Sugar Bowl for the BCS title game. The team was the LSU Tigers who played against the Oklahoma Sooners.,False,1.0,1.0
18,19,hotpot,multi,What two occupations did Scott Weiland and Richard Hawley have in common?,Scott Weiland and Richard Hawley were both musicians and singers.,True,1.0,1.0
19,20,hotpot,multi,The Death Camp of Tolerance is an episode from an animated television series that was created by which two people?,"The Death Camp of Tolerance is an episode from the American animated television series South Park, which was created by Trey Parker and Matt Stone.",True,1.0,1.0
20,21,hotpot,multi,"What Taylor swift song released December 7, 2008 was written by the same writer as ""You Belong to Me""?","The song ""White Horse"" was released on December 7, 2008 and was written by Taylor Swift and Liz Rose, the same writer as ""You Belong to Me"".",True,1.0,1.0
21,22,hotpot,multi,What do Woodstock and American Dream have in common?,"I found multiple results for Woodstock and American Dream.

## Woodstock
- Woodstock is a 1970 documentary film of the watershed counterculture Woodstock Festival which took place in August 1969 near Bethel, New York.

## American Dream
- American Dream is a 1990 ""cinéma vérité"" documentary film directed by Barbara Kopple and co-directed by Cathy Caplan, Thomas Haneke, and Lawrence Silk.
- American Dream is the fourth studio album by American rock band LCD Soundsystem, released on September 1, 2017, by DFA and Columbia.
- ""An American Dream"" is a song written by Rodney Crowell. He recorded it under the title ""Voilá, An American Dream"" on his 1978 album ""Ain't Living Long Like This"", and released it as the B-side to that album's single ""(Now and Then There's) A Fool Such as I"".
- ""American Dream"" is a song by American rock band LCD Soundsystem. It was released together with ""Call the Police"" as a digital double A-side single on May 5, 2017, through DFA Records and Columbia Records, as the lead single from their fourth studio album, ""American Dream"" (2017).
- ""Mr. Jones"" is a song by American hip hop recording artist Mike Jones, released as the first single from his album ""The American Dream"".",True,0.0,0.9523809524
22,23,hotpot,multi,In which sport does both Virginia Ruzici and Andy Murray participate?,Virginia Ruzici and Andy Murray both participate in tennis.,True,1.0,1.0
23,24,hotpot,multi,What type of media do Peter Filkins and The New Criterion have in common?,"Peter Filkins is an American poet and literary translator. His poems, essays, reviews, and translations have appeared in numerous journals, including The New Republic, Partisan Review, The New Criterion, Poetry, The Yale Review, the New York Times Book Review, and the Los Angeles Times.
The New Criterion is a New York-based monthly literary magazine and journal of artistic and cultural criticism, edited by Roger Kimball (editor and publisher) and James Panero (executive editor). It has sections for criticism of poetry, theater, art, music, the media, and books.
Therefore, Peter Filkins and The New Criterion have in common the media of literary magazines and journals.",True,1.0,1.0
24,25,hotpot,multi,Are Alek Keshishian and Kirk Kerkorian both Armenian-American?,"Yes, both Alek Keshishian and Kirk Kerkorian are Armenian-American.",True,1.0,1.0
25,26,hotpot,multi,What 1986 drama directed by Lee Doo-yong starred Lee Mi-sook?,"Lee Mi-sook starred in two 1986 dramas directed by Lee Doo-yong: ""Mulberry"" and ""Eunuch"".",True,1.0,1.0
26,27,hotpot,multi,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,"No, Elko Regional Airport is located in Nevada, while Gerald R. Ford International Airport is located in Michigan.",True,1.0,1.0
27,28,hotpot,multi,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?","Works by Hanna Leena Kristiina Varis are part of a collection in the Albertina Museum in Vienna, Austria. The Albertina Museum houses approximately 65,0000 drawings and approximately 1 million old master prints, as well as more modern graphic works, photographs and architectural drawings.",True,1.0,1.0
28,29,hotpot,multi,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,"Sunil Grover, who played Gutthi on Comedy Nights with Kapil Show, also starred in the 2016 Punjabi film Vaisakhi List, directed by Smeep Kang.",True,1.0,0.6666666667000001
29,30,hotpot,multi,What is part of an alternate title to a Three 6 Mafia song and is slang for a concoction which includes prescription-strength cough syrup also known as purple drank?,"The answer is ""Sippin' on Some Syrup"" or ""Sippin' on Some Sizzurp"", which is the second single from Three 6 Mafia's fourth studio album. The song samples the synthesizer intro and keyboard instrumental from Marvin Gaye's 1978 song ""Is That Enough"" from his album ""Here, My Dear"". The song peaked at #30 on the Hot R&B/Hip-Hop Songs chart.",True,1.0,0.8333333333
30,31,hotpot,multi,Are Agee and To Shoot an Elephant both documentaries about war?,"No, Agee is a documentary about the writer James Agee, while To Shoot an Elephant is a documentary about the 2008-2009 Gaza War.",True,1.0,1.0
31,32,hotpot,multi,What is the birthdate of this English actor best known for playing in Harry Potter and starring in The Woman in Black?,"I found two English actors who starred in both Harry Potter and The Woman in Black:

- Daniel Jacob Radcliffe (born 23 July 1989) is best known for his role as Harry Potter in the film series of the same name. He starred in The Woman in Black, directed by James Thomas Watkins.
- Adrian Justin Rawlins (born 27 March 1958) is best known for playing Arthur Kidd in The Woman in Black (1989) and James Potter in the Harry Potter films.",True,1.0,1.0
32,33,hotpot,multi,What position does Kyle York hold at the internet performance management company Dyn?,"Kyle York is an executive at Dyn, currently serving as Chief Strategy Officer.",True,1.0,1.0
33,34,hotpot,multi,Which field of studies did Semyon Aranovich Gershgorin and Anatoly Maltsev work in?,Semyon Aranovich Gershgorin and Anatoly Maltsev were both mathematicians.,True,1.0,1.0
34,35,hotpot,multi,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","The 2015 South Korean crime thriller film ""The Deal"" was not based on a book. The film was directed by Son Yong-ho and featured South Korean actor Park Sung-woong as a serial killer.",False,0.0,0.6666666667000001
35,36,hotpot,multi,C.J. Hunter was tested positive for which type of injected steroid before he competed in the 2000 Summer Olympic Games?,C.J. Hunter tested positive for the performance-enhancing steroid nandrolone before he competed in the 2000 Summer Olympic Games. Nandrolone is an injected anabolic-androgenic steroid (AAS) which is used medically in the form of esters such as nandrolone decanoate (brand name Deca-Durabolin) and nandrolone phenylpropionate (brand name Durabolin).,True,1.0,1.0
36,37,hotpot,multi,Which band has more members Music for Dead Birds or The Wolfhounds?,"Music for Dead Birds has two members, Jimmy Monaghan and Dónal Walsh. The Wolfhounds have five members, Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing. Therefore, The Wolfhounds have more members.",True,1.0,1.0
37,38,hotpot,multi,"For how many years did a player, who woke up on March 28, 1996 without vision in his right eye, play for the Minnesota Twins?","Kirby Puckett, the Minnesota Twins' franchise player, woke up on March 28, 1996 without vision in his right eye. He was diagnosed with glaucoma and announced his retirement from baseball on July 12, 1996. He played his entire 12-year Major League Baseball (MLB) career as a center fielder for the Minnesota Twins (1984-95).",True,1.0,1.0
38,39,hotpot,multi,What author wrote a three book series of memoirs that are studied in school systems around the world?,"Homer Hickam, Jr. wrote a three-book series of memoirs that are studied in school systems around the world. The series includes *October Sky* (1998), *The Coalwood Way* (2000), and *Sky of Stone* (2002).",True,1.0,0.8
39,40,hotpot,multi,Which southern Georgia city features the Blazers college athletic teams?,"The Blazers college athletic teams are based in Valdosta, Georgia. Valdosta is a city in and the county seat of Lowndes County, located on the southern border of Georgia.",True,1.0,0.75
40,41,hotpot,multi,"George Reed was, along with which Drake University player, one of the greatest running backs in CFL history?","George Reed, along with Johnny Bright, is one of the greatest running backs in CFL history.",True,1.0,1.0
41,42,hotpot,multi,What kind of novelists were both Robert Stone and Truman Capote?,"Robert Stone was an American novelist, while Truman Capote was an American novelist, screenwriter, playwright, and actor.",True,0.8,1.0
42,43,hotpot,multi,"Who is the director of Hollywood film ""7th Heaven"" (1927), Jerry Belson or  Frank Borzage?","The director of the Hollywood film ""7th Heaven"" (1927) is Frank Borzage. Jerry Belson was a writer, director, and producer of Hollywood films for over forty years.",True,1.0,1.0
