,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,drop,single,"How many more members did the Front have in 1974 than in 1975, not including the smallest estimate of ""paper members?""","The National Front had a higher membership in 1974 than in 1975. In February 1974, a branch chairman claimed the party had 20,000 members. In early 1975, it was estimated to have around 21,000 members, including 6,000 to 8,000 ""paper members."" Therefore, excluding the smallest estimate of ""paper members"" (6,000), the National Front had 14,000 members in 1975. 

So, the number of members the Front had in 1974 that were not included in the smallest estimate of ""paper members"" for 1975 is: 
20,000 (members in 1974) - 14,000 (members in 1975 excluding paper members) = 6,000 more members.",False,0.4,0.4285714286
1,2,drop,single,How many percent were not males 65 or older living alone?,91.2% of the households were not males 65 years or older living alone. This is calculated by subtracting the percentage of households with males 65+ living alone (8.8%) from 100%.,False,0.6000000000000001,0.33333333330000003
2,3,drop,single,How many total passes did Andrew Luck throw?,Andrew Luck threw a total of 39 passes in the game.,True,1.0,1.0
3,4,drop,single,How many more Mormons were there compared to Muslims?,"There were 81,000 more Mormons than Muslims.",True,1.0,1.0
4,5,drop,single,How many games did the Ravens win during the playoffs?,"The Ravens won one playoff game and lost one, for a total of one win.",True,1.0,1.0
5,6,drop,single,How many percent of Saratoga Countys population in 2010 was between 20 and 29 years old?,The percentage of Saratoga County's population that was between 20 and 29 years old in 2010 was 11%. This is calculated by combining the percentage of individuals between 20 and 24 years old (5.5%) and those between 25 and 29 years old (also 5.5%).,True,1.0,1.0
6,7,drop,single,Who threw the longest pass?,"Vince Young threw the longest pass, a 41-yard TD pass to Roydell Williams.",True,1.0,1.0
7,8,drop,single,How many percent of American females were not unemployed in 2009?,92.5% of American females were not unemployed in 2009.,True,1.0,0.0
8,9,drop,single,How many percent of people were not Hispanic or Latino?,"Based on the provided information, 98.2% of the population were not Hispanic or Latino. This can be deduced by subtracting the percentage of people who were Hispanic or Latino (1.8%) from 100%.",True,0.6000000000000001,1.0
9,10,drop,single,How many days after Romania re-entered the war was the Treaty of Bucharest nullified by the Armistice of Compiegne?,The Armistice of Compiègne nullified the Treaty of Bucharest the day after Romania re-entered the war.,True,1.0,1.0
10,11,drop,single,How many percent of the jobs in the secondary sector were not in mining?,99.2%,True,0.0,
11,12,drop,single,Which player had the longest touchdown reception?,Terrell Owens had the longest touchdown reception.,True,1.0,1.0
12,13,drop,single,How many yards longer was Sebastian Janikowski's longest field goal than his shortest?,There was a difference of 6 yards between Sebastian Janikowski's longest and shortest field goals.,True,1.0,1.0
13,14,drop,single,How many more people were between 30 and 39 than between 60 and 69?,There were 15 more people between the ages of 30 and 39 than between 60 and 69 in Cunter.,True,1.0,1.0
14,15,drop,single,"As of the 2000 census, which race had a larger population, Asian or white?","As of the 2000 census, White people had a larger population in the village.",True,1.0,1.0
15,16,drop,single,Which group is larger for the county according to the census: people or households?,"According to the census, there were more people than households in the county.",True,1.0,1.0
16,17,drop,single,Who scored the first touchdown of the game?,Anquan Boldin scored the first touchdown of the game.,True,1.0,1.0
17,18,drop,single,How many less Republican voters are there than Democratic voters?,"There are 4,482 fewer Republican voters than Democratic voters in San Benito County as of May 2010.",True,1.0,1.0
18,19,drop,single,How many field goals between 40 and 50 yards did Dave Rayner have?,One.,True,0.0,1.0
19,20,drop,single,How many more millions of exports to China did Nepal have in 2015/2016 than they did in 2014/2015?,Nepal had 2 million more exports to China in 2015/2016 than in 2014/2015.,True,1.0,1.0
20,21,drop,single,How many more people are there than housing units?,"There are 1,584 more people than housing units in the village as of the 2000 census. This is calculated by subtracting the number of housing units (7,650) from the total population (19,234).",False,0.6000000000000001,0.8
21,22,drop,single,How many interceptions did Andre Dyson have?,Andre Dyson had two interceptions in the game.,True,1.0,1.0
22,23,drop,single,"How many more people, in terms of percentage, were from two or more races compared to being solely Asian or solely African American?",There were over 2.3 times more people who were from two or more races compared to those who were solely Asian or African American in the village as of the 2000 census.,False,1.0,0.5
23,24,drop,single,Who was the home team?,The Falcons were the home team.,True,1.0,1.0
24,25,drop,single,How many total points were scored in the game?,A total of 40 points were scored in the game. The Colts scored 27 points and the Broncos scored 13 points.,True,1.0,1.0
25,26,drop,single,How many touchdown passes over 24 yards did David Garrand throw?,David Garrard threw one touchdown pass over 24 yards.,True,1.0,0.5
26,27,drop,single,How many degrees Celsius is Pakse's average January temperature compared to Vientiane?,Pakse's average temperature in January is 3.6 °C higher than Vientiane.,True,1.0,1.0
27,28,drop,single,"How many total people were killed, captured and were listed as casualties?","A total of 12 US troops were killed, 23 were captured, and there were 45 Mexican Federal Army casualties. This makes a total of 70 people killed, captured, or listed as casualties.",False,1.0,0.75
28,29,drop,single,How many teams in total played at Bosse Field?,"Based on the information provided, a total of eleven teams have played at Bosse Field, including the Otters and the ten additional teams mentioned.",True,1.0,1.0
29,30,drop,single,How many yards was Neil Rackers's longest field goal?,44 yards,True,1.0,
30,31,drop,single,How many touchdowns did McNabb run for?,McNabb ran for two touchdowns.,True,1.0,1.0
31,32,drop,single,How many percent higher was the poverty rate in Guatemala in 2006 then the extreme poverty rate?,The poverty rate in Guatemala in 2006 was 28.7% higher than the extreme poverty rate in the same year. This is calculated by taking the difference between the poverty rate (54.8%) and the extreme poverty rate (26.1%) and then dividing that difference by the extreme poverty rate.,True,1.0,0.6666666667000001
32,33,drop,single,"After playing the Boston Celtics two years in a row, which team did the Pacers play the following year in the 1993 NBA PLayoffs?",The Pacers played the New York Knicks in the 1993 NBA Playoffs.,True,1.0,1.0
33,34,drop,single,How many percent of people were not Pacific Islander?,99.90% of people were not Pacific Islander.,True,1.0,1.0
34,35,drop,single,"Which happened later, the introduction of the Treaty of Amiens or the first Kandyan War?",The first Kandyan War happened later.,True,0.0,1.0
35,36,drop,single,How many percent were not male?,"35.70% of the population was female, and 10.50% were in the age range where males are typically less prevalent, for a total of 46.30% non-male residents.",True,0.0,0.33333333330000003
36,37,drop,single,How many percent were not Irish?,84.5%,True,0.0,
37,38,drop,single,"How many years before William Y. Giles presented the league champion Astros with the Warren C. Giles Trophy did Williams father, Warren Giles, award an MLB franchise to the city of Houston?",45 years.,True,0.0,0.0
38,39,drop,single,How many total yards did Mike Nugent kick for field goals?,61 yards,True,0.0,
39,40,drop,single,How many in percent of households had someone living alone who wasn't 65 years of age or older?,The answer is 23.2%.,True,1.0,0.0
40,41,drop,single,How many field goals did Rob Bironas kick in total?,Rob Bironas kicked a total of four field goals in the game.,True,1.0,1.0
41,42,drop,single,How many in percent weren't under the age of 18?,74.6% of New Haven's residents weren't under the age of 18.,True,1.0,1.0
42,43,drop,single,How many total touchdowns did the teams score in the game?,The teams scored a total of 6 touchdowns in the game.,False,0.0,0.0
43,44,drop,single,How many yards longer was Jay Cutler's longest touchdown pass than Brett Favre's longest touchdown pass?,Jay Cutler's longest touchdown pass was 3 yards longer than Brett Favre's.,True,0.4,0.0
44,45,drop,single,Who scored first,The Steelers scored first with a 26-yard field goal from kicker Shaun Suisham.,True,1.0,1.0
45,46,drop,single,"Which happened first, gunmen raided a Malaysian fish farm or two gunmen kidnapped a Chinese fish farm manager?","The raid on the Malaysian fish farm on Baik Island Sabah happened first, on May 6, 2014, while the kidnapping of the Chinese fish farm manager and a Filipino worker took place on June 16, 2014.",True,1.0,0.6666666667000001
46,47,drop,single,"Which country produces a larger portion of the world exports in palm oil, Indonesia or Malaysia?","Indonesia produces a larger portion of world exports in palm oil, with 52.2% compared to Malaysia's 37.9%.",True,1.0,1.0
47,48,drop,single,How many more people speak Vietnamese compared to Korean and Arabic combined?,"Vietnamese is spoken by 3,127 more people than Korean and Arabic combined in the state.",False,0.2,0.5
48,49,drop,single,How many yards was the longest touchdown of the game?,46 yards,True,1.0,
49,50,drop,single,How many percent of residents do not speak Laotian language?,98.88% of Richmond residents do not speak the Laotian language.,True,1.0,1.0
50,51,drop,single,Who threw the longest touchdown pass of the game?,"Philip Rivers threw the longest touchdown pass of the game, a 55-yard pass to Seyi Ajirotutu.",True,1.0,1.0
51,52,drop,single,which household was second most common?,"Based on the context, it seems that the second most common household type was non-families, making up about 39.9% of all households.",True,1.0,0.5
52,53,drop,single,What drug was a big problem in the 90s,"The drug that was a significant problem in the 1990s, particularly in Harlem, was crack cocaine, often referred to as simply ""crack."" The period of widespread and rampant use and distribution of this drug is commonly referred to as the ""crack epidemic.""",True,0.8,0.6666666667000001
53,54,drop,single,How many teams tied the 1984 49ers record for most regular season wins?,Six teams tied the 1984 49ers record for most regular season wins.,False,0.0,0.0
54,55,drop,single,How many more males age 18 or over were there than females out of every 100 females age 18 or over?,"Out of every 100 females age 18 or over, there were 73.2 more males.",True,1.0,1.0
55,56,drop,single,How many yards was the longest field goal?,"The longest field goal was 51 yards, kicked by Olindo Mare of the Seahawks in the second quarter.",True,1.0,1.0
56,57,drop,single,How many countries have large Hungarian communities?,"There are large Hungarian communities in at least 7 countries: Hungary, Romania, Slovakia, Vojvodina, Ukraine, Austria, and the United States.",False,0.8,1.0
57,58,drop,single,How many races made up more more than 1% of the population but less than 4%?,"There were four races that made up more than 1% but less than 4% of the population in the county as of the 2000 census. These were Asian Americans, Native Americans, those of mixed race, and Native Hawaiians or other Pacific Islanders.",False,0.0,0.6666666667000001
58,59,drop,single,How many countries resettled on Circassian lands?,Three.,True,0.0,0.0
59,60,drop,single,How many percent of people were not Chinese in 2000?,"In the year 2000, 57% of Kuala Lumpur's population was not Chinese.",True,0.6000000000000001,1.0
60,61,drop,single,Which player scored the longest rushing TD?,T.J. Duckett scored the longest rushing TD with a 32-yard run in the first quarter for the Lions.,True,1.0,1.0
