,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,hotpot,multi,Which band was formed first Killing Joke or Acceptance ?,"Killing Joke was formed first, in October 1978, while Acceptance was formed later in 1998.",True,1.0,1.0
1,2,hotpot,multi,"What album did John Lennon release before the one that contained the song ""How?""","John Lennon's album *John Lennon/Plastic Ono Band* was released in 1970, preceding his 1971 album *Imagine*, which contained the song ""How?"".",True,1.0,1.0
2,3,hotpot,multi,"The lead of the CBS series ""I Had Three Wives"" played what role in ""Godspell""?",Jesus,True,1.0,
3,4,hotpot,multi,Who created the manga series originally serialized from 1994-1995with a superheroine?,"Taeko Ikeda created the manga series ""Tonde Burin"", which features a superheroine protagonist and was originally serialized from 1994 to 1995.",True,1.0,1.0
4,5,hotpot,multi,In what group was the writer of Songs and Dances of Death in?,"The writer of ""Songs and Dances of Death,"" Modest Petrovich Mussorgsky, was part of a group known as ""The Five."" They were innovators of Russian music in the Romantic period, striving to create a uniquely Russian musical identity.",True,1.0,1.0
5,6,hotpot,multi,"Which university, attended by Jonas Tilly, is part of California's three-system public higher education plan?","The University of California, which was attended by Jonas Tilly, is part of California's three-system public higher education plan.",True,1.0,1.0
6,7,hotpot,multi,The 1919 Mississippi gubernatorial election Incumbent Democrat was a master of what?,"The incumbent Democrat for the 1919 Mississippi gubernatorial election, Theodore G. Bilbo, was a master of filibuster and scathing rhetoric.",True,0.8,1.0
7,8,hotpot,multi,"How many albums does the duo who sang ""Yesterday Once More"" have?","The duo who sang ""Yesterday Once More,"" The Carpenters, recorded 11 albums during their 14-year career.",True,1.0,0.6666666667000001
8,9,hotpot,multi,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?","The native name for Spettekaka in the Scanian dialect is ""spiddekaga"".",True,1.0,1.0
9,10,hotpot,multi,This Fox News Specialist Host also took over what Fox Business Channel news program in 2013?,"Eric Thomas Bolling took over as host of the Fox Business Channel news program ""Cashin' In"" in 2013.",True,1.0,1.0
10,11,hotpot,multi,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag?,"People in the Netherlands wear orange clothing during Oranjegekte or to celebrate Koningsdag, also known as King's Day. This color is representative of the Dutch royal family, the House of Orange-Nassau.",True,1.0,1.0
11,12,hotpot,multi,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?","The American singer, songwriter, and record producer who contributed to the single ""Marvin Gaye"" with Julie Frost is Charlie Puth. In 2015, he co-produced and performed the song ""See You Again"" with Wiz Khalifa for the ""Furious 7"" soundtrack.",True,1.0,1.0
12,13,hotpot,multi,"Edward Marszewski is the editor-in-chief of Lumpen, who is the editor-in-chief of Saveur?","Colman Robert Hardy Andrews was the editor-in-chief of *Saveur* from 2001 until 2006. James Oseland was also an editor-in-chief of the magazine, though the context does not specify his tenure period.",True,0.2,1.0
13,14,hotpot,multi,The 2012–13 Boston Celtics season was marred by an occurence which took the lives of how many people?,Three people lost their lives in the tragic Boston Marathon bombing.,True,1.0,1.0
14,15,hotpot,multi,"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?","The actor who plays Will Graham in the series ""Hannibal"" is Hugh Dancy. His father, Jonathan Peter Dancy, is a philosophy professor and writer.",True,1.0,1.0
15,16,hotpot,multi,Who preceded the man who had the Nassak Diamond cut and placed into the handle of his sword?,"The 1st Earl Grosvenor preceded the 1st Marquess of Westminster, who had the Nassak Diamond cut and placed into the handle of his sword.",True,0.6000000000000001,0.5
16,17,hotpot,multi,"Which is published in France, Avantages or InStyle?",Avantages is published in France.,True,1.0,1.0
17,18,hotpot,multi,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",The BMW X5 (E53) was produced alongside the newer BMW X6 model in 2009.,True,0.8,0.0
18,19,hotpot,multi,"Who was born earlier, Simone Bolelli or Caroline Wozniacki?","Simone Bolelli was born earlier, on October 8, 1985, while Caroline Wozniacki was born on July 11, 1990. Therefore, Bolelli is approximately five years older than Wozniacki.",True,1.0,1.0
19,20,hotpot,multi,"What role did Veda Hlubinka-Cook have in the making of this 1997 video game that takes place on the Orient Express, days before the start of World War I?","Veda Hlubinka-Cook was the technical director for the 1997 video game ""The Last Express"", which takes place on the Orient Express days before World War I.",True,1.0,1.0
20,21,hotpot,multi,What army did the namesake of the ship launched as the München in 1930 fight in during the American Revolutionary War?,"The namesake of the ship launched as the München in 1930, Friedrich Wilhelm Steuben, fought for the Continental Army during the American Revolutionary War.",True,1.0,1.0
21,22,hotpot,multi,What game did the team with an 11-1 regular season record play in for the BCS title game?,"The team with an 11-1 regular season record that played in the BCS title game was the LSU Tigers, who played against the Oklahoma Sooners in the 2004 Nokia Sugar Bowl.",True,1.0,1.0
22,23,hotpot,multi,What two occupations did Scott Weiland and Richard Hawley have in common?,Scott Weiland and Richard Hawley were both musicians and singers.,True,1.0,1.0
23,24,hotpot,multi,The Death Camp of Tolerance is an episode from an animated television series that was created by which two people?,Trey Parker and Matt Stone,True,1.0,
24,25,hotpot,multi,"What Taylor swift song released December 7, 2008 was written by the same writer as ""You Belong to Me""?","""White Horse"" was released on December 7, 2008, and was co-written by Liz Rose, who also co-wrote ""You Belong with Me.""",True,1.0,1.0
25,26,hotpot,multi,What do Woodstock and American Dream have in common?,Woodstock and American Dream are both documentary films.,True,0.8,1.0
26,27,hotpot,multi,In which sport does both Virginia Ruzici and Andy Murray participate?,Tennis,True,1.0,
27,28,hotpot,multi,What type of media do Peter Filkins and The New Criterion have in common?,"Peter Filkins and *The New Criterion* both have connections to the field of literary criticism and publishing. Filkins is a poet and literary translator whose work has been published in various literary journals, including *The New Republic*, *Partisan Review*, and *Poetry*. *The New Criterion*, on the other hand, is a monthly literary magazine and journal of artistic and cultural criticism, with sections dedicated to the criticism of poetry, theater, art, music, and more. Therefore, both Filkins and *The New Criterion* are engaged in the creation and publication of literary works and their critical analysis.",True,1.0,0.8823529412000001
28,29,hotpot,multi,Are Alek Keshishian and Kirk Kerkorian both Armenian-American?,"Yes, both Alek Keshishian and Kirk Kerkorian are Armenian-American.",True,1.0,1.0
29,30,hotpot,multi,What 1986 drama directed by Lee Doo-yong starred Lee Mi-sook?,"The 1986 drama film *Mulberry*, directed by Lee Doo-yong, starred Lee Mi-sook.",True,0.6000000000000001,0.5
30,31,hotpot,multi,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,"Yes, both Elko Regional Airport and Gerald R. Ford International Airport are located in Michigan. Elko Regional Airport is situated in Elko County, about a mile west of downtown Elko. On the other hand, the Gerald R. Ford International Airport is in Cascade Township, approximately 13 miles southeast of Grand Rapids, Michigan.",False,0.0,0.8
31,32,hotpot,multi,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",drawings,True,1.0,
32,33,hotpot,multi,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,"The actor who played Gutthi on the Comedy Nights with Kapil Show is Sunil Grover. Sunil Grover starred in the 2016 Punjabi film ""Vaisakhi List,"" which was directed by Smeep Kang.",True,1.0,0.6666666667000001
33,34,hotpot,multi,What is part of an alternate title to a Three 6 Mafia song and is slang for a concoction which includes prescription-strength cough syrup also known as purple drank?,"The term ""Sizzurp"" is part of the alternate title to the Three 6 Mafia song ""Sippin' on Some Syrup,"" and is also slang for purple drank, a concoction made with prescription-strength cough syrup.",True,1.0,0.6666666667000001
34,35,hotpot,multi,Are Agee and To Shoot an Elephant both documentaries about war?,"No, only *To Shoot an Elephant* is a documentary about war. *Agee* is a documentary about the writer James Agee.",True,1.0,0.5
35,36,hotpot,multi,What is the birthdate of this English actor best known for playing in Harry Potter and starring in The Woman in Black?,"Daniel Jacob Radcliffe, the English actor best known for his role as Harry Potter, was born on July 23, 1989. He starred in the ""Harry Potter"" film series from 2001 to 2011 and also played the lead role in ""The Woman in Black.""",True,1.0,1.0
36,37,hotpot,multi,What position does Kyle York hold at the internet performance management company Dyn?,"Kyle York is the Chief Strategy Officer at Dyn, an internet performance management company.",True,1.0,1.0
37,38,hotpot,multi,Which field of studies did Semyon Aranovich Gershgorin and Anatoly Maltsev work in?,Semyon Aranovich Gershgorin and Anatoly Maltsev were both mathematicians.,True,1.0,1.0
38,39,hotpot,multi,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","I'm sorry, but there is no book mentioned in the context provided. However, I can confirm that the 2015 South Korean crime thriller ""The Deal"" was directed by Son Yong-ho and featured prominent South Korean actor Park Sung-woong as a serial killer.",False,1.0,1.0
39,40,hotpot,multi,C.J. Hunter was tested positive for which type of injected steroid before he competed in the 2000 Summer Olympic Games?,C.J. Hunter tested positive for Nandrolone.,True,1.0,1.0
40,41,hotpot,multi,Which band has more members Music for Dead Birds or The Wolfhounds?,"The Wolfhounds have more members. Music for Dead Birds has two members, while The Wolfhounds have five.",True,1.0,0.6666666667000001
41,42,hotpot,multi,"For how many years did a player, who woke up on March 28, 1996 without vision in his right eye, play for the Minnesota Twins?",Kirby Puckett played for the Minnesota Twins for 12 years.,True,1.0,1.0
42,43,hotpot,multi,What author wrote a three book series of memoirs that are studied in school systems around the world?,"The author who wrote a three-book series of memoirs that are studied in school systems around the world is Homer Hickam, Jr. His series includes ""October Sky"" (originally published as ""Rocket Boys""), ""The Coalwood Way,"" and ""Sky of Stone."" These memoirs depict growing up in a mining town and pursuing amateur rocketry, and they have gained recognition as popular community and library reads in the United States while also being incorporated into school curricula worldwide.",True,1.0,0.6666666667000001
43,44,hotpot,multi,Which southern Georgia city features the Blazers college athletic teams?,"The southern Georgia city featuring the Blazers college athletic teams is Valdosta, which is home to the Valdosta State Blazers.",True,1.0,0.5
44,45,hotpot,multi,"George Reed was, along with which Drake University player, one of the greatest running backs in CFL history?",Johnny D. Bright,True,1.0,
45,46,hotpot,multi,What kind of novelists were both Robert Stone and Truman Capote?,Both Robert Stone and Truman Capote were American novelists.,True,1.0,1.0
46,47,hotpot,multi,"Who is the director of Hollywood film ""7th Heaven"" (1927), Jerry Belson or  Frank Borzage?","Frank Borzage is the director of the 1927 Hollywood film ""7th Heaven"".",True,1.0,1.0
47,48,hotpot,multi,What channels was the cartoon that Nicholas Boshier developed with Anthony MacFarlane and Jarod Green broadcast on?,"The cartoon developed by Nicholas Boshier, Anthony MacFarlane, and Jarod Green, titled ""Beached Az"", was broadcast on ABC1 and ABC2, the channels of the Australian Broadcasting Corporation (ABC).",True,1.0,0.6666666667000001
48,49,hotpot,multi,"Prior to playing for Michigan State, Keith Nichol played football for a school located in what city?",Norman.,True,1.0,1.0
49,50,hotpot,multi,"What job did Jörgen Smit work, where he was working in the world center for the anthroposophical movement?","Jörgen Smit was a teacher, teachers' teacher, speaker, and writer. He worked in Dornach, Switzerland, at the Goetheanum, which is the world center for the anthroposophical movement.",False,1.0,1.0
50,51,hotpot,multi,"Who were the guns stolen from the HMS ship ""Marlin"" originally produced for?","The guns stolen from the HMS ""Marlin"" were originally produced for the British Army.",True,1.0,1.0
51,52,hotpot,multi,Both Neijiang and Weifang and considered what type of city?,Both Neijiang and Weifang are considered prefecture-level cities in China.,True,1.0,1.0
52,53,hotpot,multi,Bill Bryson grew up in a city that is the seat of which county ?,"Bill Bryson grew up in Des Moines, Iowa, which is the county seat of Polk County.",True,1.0,1.0
53,54,hotpot,multi,What Swedish songwriter worked with Taylor Swift?,"The Swedish songwriter and producer Shellback collaborated with Taylor Swift on her fifth studio album, ""1989.""",True,1.0,
54,55,hotpot,multi,How many more singles titles did Kim Warwick win than Jorge Lozano?,"Kim Warwick won three singles titles, while Jorge Lozano won none. Therefore, Warwick won three more singles titles than Lozano.",True,1.0,1.0
55,56,hotpot,multi,"Kiskiack is a building that still stands at what York County, Virginia naval base?","Kiskiack, also known as Lee House, is a building that still stands at the Naval Weapons Station Yorktown in York County, Virginia.",True,1.0,1.0
56,57,hotpot,multi,What year was the 2nd wife of the leader of the hussites born?,"The leader of the Hussites, George of Kunštát and Poděbrady, was born on April 23, 1420.",False,0.0,1.0
57,58,hotpot,multi,The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,"The 1959 Soviet feature film, *Battle Beyond the Sun*, contained scenes that were reused in the later films *Queen of Blood* and the English-dubbed and re-edited version of the same film, *Battle Beyond the Stars*.",False,0.0,0.6666666667000001
58,59,hotpot,multi,"Which serial killer was known to start killing first, Wayne Boden or Ted Bundy?",Ted Bundy started his killing spree first.,False,0.0,0.0
59,60,hotpot,multi,"Which band was formed first, Wavves or Social Code?","Social Code was formed first, in 1999. Wavves was formed later, in 2008.",True,,1.0
60,61,hotpot,multi,"Which of the starting pitchers for Team USA in the Baseball at the 2000 Summer Olympics was not born August 29, 1977?",Ben Sheets.,True,0.8,1.0
61,62,hotpot,multi,What where both Hawker Hurricane and No. 1455 Flight apart of?,The Hawker Hurricane and No. 1455 Flight were both a part of the RAF (Royal Air Force).,True,1.0,1.0
62,63,hotpot,multi,What county was Matt Herr raised in?,"Matt Herr was raised in Bergen County, New Jersey.",True,1.0,1.0
63,64,hotpot,multi,Stray Arrows: A Collection of Favorites is the first compilation album released by an American alternative metal band that formed in what Chicago suburb?,Wildwood,True,1.0,
64,65,hotpot,multi,"In what year did the man who shot the Chris Stockley, of The Dingoes, die?","Dennis Allen, the man who shot Chris Stockley, died in 1987 of heart disease.",True,1.0,1.0
65,66,hotpot,multi,What land elevation does Khunyang Chhish and Ismoil Somoni Peak have in common?,"Both Khunyang Chhish and Ismoil Somoni Peak are among the tallest mountains in their respective regions, but their exact elevations differ. Khunyang Chhish, part of the Karakoram range in Pakistan, has an elevation of 7,852 meters (25,761 feet), while Ismoil Somoni Peak, located in Tajikistan, stands at 7,495 meters (24,590 feet). Despite their difference in height, they are both renowned for their impressive heights and attract mountaineers from around the world.",False,0.4,0.8
66,67,hotpot,multi,"Who collaborated with Rihanna on the album release ""Numb""?","American rapper Eminem collaborated with Rihanna on the song ""Numb"" from her album ""Unapologetic."" This marked their third collaboration after the two official versions of ""Love the Way You Lie.""",True,1.0,1.0
67,68,hotpot,multi,The Schumann–Runge bands are named for at least one German what?,The Schumann–Runge bands are named for at least one German mathematician and physicist.,True,1.0,1.0
