,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,drop,single,"How many more members did the Front have in 1974 than in 1975, not including the smallest estimate of ""paper members?""","I'm sorry, I was unable to find any information about the number of members the Front had in 1974 or 1975.",False,0.0,0.0
1,2,drop,single,How many percent were not males 65 or older living alone?,"I'm sorry, I couldn't find any information about the percentage of non-males 65 or older living alone. However, I did find that 8.8% of households had someone living alone who was 65 years of age or older.",False,,1.0
2,3,drop,single,How many total passes did Andrew Luck throw?,Andrew Luck completed 31 of 39 pass attempts.,True,1.0,1.0
3,4,drop,single,How many more Mormons were there compared to Muslims?,"There are approximately 81,000 more Mormons than Muslims.",True,1.0,1.0
4,5,drop,single,How many games did the Ravens win during the playoffs?,"The Ravens won one game during the playoffs, beating the Chiefs 30-7.",True,1.0,1.0
5,6,drop,single,How many percent of Saratoga Countys population in 2010 was between 20 and 29 years old?,"In 2010, 5.5% of Saratoga County's population was between 20 and 24 years old, and 5.5% was between 25 and 29 years old.",False,1.0,1.0
6,7,drop,single,Who threw the longest pass?,"I'm sorry, I couldn't find any information about the longest pass ever thrown.",False,0.0,0.5
7,8,drop,single,How many percent of American females were not unemployed in 2009?,"The unemployment rate for American females in 2009 was 7.5%. Therefore, 92.5% of American females were not unemployed in 2009.",True,1.0,1.0
8,9,drop,single,How many percent of people were not Hispanic or Latino?,"I'm sorry, I couldn't find any information about the percentage of people who were not Hispanic or Latino.",False,1.0,1.0
9,10,drop,single,How many days after Romania re-entered the war was the Treaty of Bucharest nullified by the Armistice of Compiegne?,The Treaty of Bucharest was nullified by the Armistice of Compiegne one day after Romania re-entered the war.,True,1.0,1.0
10,11,drop,single,How many percent of the jobs in the secondary sector were not in mining?,"In the secondary sector, 99.2% of the jobs were not in mining.",True,1.0,1.0
11,12,drop,single,Which player had the longest touchdown reception?,"I'm sorry, I couldn't find any information about the longest touchdown reception.",False,0.0,0.0
12,13,drop,single,How many yards longer was Sebastian Janikowski's longest field goal than his shortest?,"Sebastian Janikowski's longest field goal was 54 yards, while his shortest was 48 yards. Therefore, his longest field goal was 6 yards longer than his shortest.",True,1.0,1.0
13,14,drop,single,How many more people were between 30 and 39 than between 60 and 69?,There are 15 more people between the ages of 30 and 39 than between 60 and 69.,True,1.0,0.5
14,15,drop,single,"As of the 2000 census, which race had a larger population, Asian or white?","The 2000 census found that 82.39% of the population was white, while only 4.52% was Asian. Therefore, the white population was larger.",True,1.0,1.0
15,16,drop,single,Which group is larger for the county according to the census: people or households?,"The number of people is larger than the number of households in the county. As of the census of 2000, there were 25,764 people and 10,477 households.",True,1.0,1.0
