,record_no,source,doc_type,question,response,score,cp_score,ragas_score
0,1,hotpot,multi,Which band was formed first Killing Joke or Acceptance ?,"Killing Joke was formed in October 1978 in Notting Hill, London, England. Acceptance, on the other hand, was formed in 1998 and is from Seattle, Washington. Therefore, Killing Joke was formed first.",True,1.0,1.0
1,2,hotpot,multi,"What album did John Lennon release before the one that contained the song ""How?""","John Lennon's song ""How?"" was released on his second solo album, ""Imagine"", in 1971. His previous album was ""John Lennon/Plastic Ono Band"", which was released in 1970.",True,1.0,1.0
2,3,hotpot,multi,"The lead of the CBS series ""I Had Three Wives"" played what role in ""Godspell""?","Victor Garber, the lead of the CBS series ""I Had Three Wives"", played Jesus in ""Godspell"".",True,1.0,1.0
3,4,hotpot,multi,Who created the manga series originally serialized from 1994-1995with a superheroine?,"The manga series ""Tonde Burin"", also known as ""Super Pig"" in English, was created by Taeko Ikeda and was serialized from 1994 to 1995. It is a magical girl manga series featuring a superheroine and was published in Shogakukan's ""Shōjo magazine"".",True,1.0,0.8
4,5,hotpot,multi,In what group was the writer of Songs and Dances of Death in?,"Modest Petrovich Mussorgsky, the writer of Songs and Dances of Death, was part of the group known as ""The Five"".",True,1.0,1.0
5,6,hotpot,multi,"Which university, attended by Jonas Tilly, is part of California's three-system public higher education plan?","Jonas Tilly attended the University of California, which is part of California's three-system public higher education plan.",True,1.0,1.0
6,7,hotpot,multi,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?","The dialect spoken in the province of Scania in southern Sweden is called Scanian. In this dialect, Spettekaka is called ""spiddekaga"".",True,1.0,1.0
7,8,hotpot,multi,This Fox News Specialist Host also took over what Fox Business Channel news program in 2013?,"Eric Bolling, a host of *Fox News Specialists*, took over as host of the Fox Business Channel news program ""Cashin' In"" in 2013.",True,1.0,1.0
8,9,hotpot,multi,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?","Charlie Puth co-produced and performed the 2015 song ""See You Again"" with Wiz Khalifa for the ""Furious 7"" soundtrack.",True,1.0,1.0
9,10,hotpot,multi,"Edward Marszewski is the editor-in-chief of Lumpen, who is the editor-in-chief of Saveur?","Edward Marszewski is the editor-in-chief of Lumpen. The current editor-in-chief of Saveur is unknown, but Colman Robert Hardy Andrews served as editor-in-chief from 2001 to 2006, and James Oseland was the editor-in-chief before him.",False,0.0,0.75
10,11,hotpot,multi,The 2012–13 Boston Celtics season was marred by an occurence which took the lives of how many people?,"The 2012-13 Boston Celtics season was marred by the Boston Marathon bombing, which took the lives of three people and injured several hundred others.",True,1.0,0.6666666667000001
11,12,hotpot,multi,"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?","The actor that plays Will Graham in the series ""Hannibal"" is Hugh Dancy. Hugh's father, Jonathan Peter Dancy, is a philosophy professor and writer.",True,1.0,1.0
12,13,hotpot,multi,Who preceded the man who had the Nassak Diamond cut and placed into the handle of his sword?,"The man who had the Nassak Diamond cut and placed into the handle of his sword was Robert Grosvenor, the 1st Marquess of Westminster. He succeeded his father, the 1st Earl Grosvenor, in 1802 as the 2nd Earl Grosvenor.",True,0.8,0.75
13,14,hotpot,multi,"Which is published in France, Avantages or InStyle?","Avantages is a French-language monthly women's magazine published in Paris, France. InStyle is a monthly women's fashion magazine published in the US. Therefore, Avantages is published in France, not InStyle.",True,1.0,1.0
14,15,hotpot,multi,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",The BMW X5 was produced alongside the newer 2009 BMW X6 model.,True,1.0,1.0
15,16,hotpot,multi,"What role did Veda Hlubinka-Cook have in the making of this 1997 video game that takes place on the Orient Express, days before the start of World War I?","Veda Hlubinka-Cook was the technical director for the 1997 video game ""The Last Express"", which takes place on the Orient Express, days before the start of World War I.",True,1.0,1.0
16,17,hotpot,multi,What army did the namesake of the ship launched as the München in 1930 fight in during the American Revolutionary War?,"The SS ""General von Steuben"" was launched as the München in 1930 and was named after Friedrich Wilhelm August Heinrich Ferdinand Steuben, also referred to as the Baron von Steuben. Steuben was a Prussian and later American military officer who served as inspector general and major general of the Continental Army during the American Revolutionary War.",True,1.0,0.8571428571
17,18,hotpot,multi,What game did the team with an 11-1 regular season record play in for the BCS title game?,"The LSU Tigers, with an 11-1 regular season record, played in the 2004 Nokia Sugar Bowl for the BCS title game. They defeated the Oklahoma Sooners with a score of 21-14.",True,1.0,1.0
18,19,hotpot,multi,What two occupations did Scott Weiland and Richard Hawley have in common?,Scott Weiland and Richard Hawley were both musicians and singers.,True,1.0,1.0
19,20,hotpot,multi,The Death Camp of Tolerance is an episode from an animated television series that was created by which two people?,"Trey Parker and Matt Stone created the animated television series South Park, which features the episode ""The Death Camp of Tolerance.""",True,1.0,
20,21,hotpot,multi,"What Taylor swift song released December 7, 2008 was written by the same writer as ""You Belong to Me""?","The Taylor Swift song ""White Horse"", which was released on December 7, 2008, was co-written by Liz Rose, the same writer who co-wrote ""You Belong with Me"".",True,1.0,1.0
21,22,hotpot,multi,What do Woodstock and American Dream have in common?,"Woodstock is a 1970 documentary film about the 1969 Woodstock Festival in Bethel, New York. The American Dream, on the other hand, is a term used to describe the ideal life in America. The term is often used in popular culture, including in songs and albums like ""An American Dream"" by Rodney Crowell, ""The American Dream"" by Mike Jones, and ""American Dream"" by LCD Soundsystem. The American Dream is also the title of a 1990 documentary film directed by Barbara Kopple. Given that both Woodstock and the American Dream are associated with cultural movements and ideals, they can be seen as symbols of particular aspects of American culture.",True,0.0,0.3571428571
22,23,hotpot,multi,In which sport does both Virginia Ruzici and Andy Murray participate?,Both Virginia Ruzici and Andy Murray play tennis.,True,1.0,1.0
23,24,hotpot,multi,What type of media do Peter Filkins and The New Criterion have in common?,"Peter Filkins is an American poet and translator whose work has appeared in numerous journals, including The New Criterion. The New Criterion is a New York-based monthly literary magazine and journal of artistic and cultural criticism. Therefore, Peter Filkins and The New Criterion have literary magazines in common.",True,1.0,0.875
24,25,hotpot,multi,Are Alek Keshishian and Kirk Kerkorian both Armenian-American?,"Alek Keshishian is an Armenian-American film and commercial director, writer, producer, and music video director. He was born in Beirut, Lebanon, on July 30, 1964. On the other hand, Kirk Kerkorian was an Armenian-American businessman, investor, and philanthropist. He was the president and CEO of Tracinda Corporation, his private holding company based in Beverly Hills, California. He is known for being one of the important figures in the shaping of Las Vegas.

Therefore, both Alek Keshishian and Kirk Kerkorian are Armenian-American.",True,1.0,1.0
25,26,hotpot,multi,What 1986 drama directed by Lee Doo-yong starred Lee Mi-sook?,"Lee Mi-sook starred in the 1986 drama film 'Mulberry', which was directed by Lee Doo-yong.",False,1.0,1.0
26,27,hotpot,multi,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,"Elko Regional Airport is located in Elko County, Nevada, while Gerald R. Ford International Airport is located in Cascade Township, Michigan. Therefore, only Gerald R. Ford International Airport is located in Michigan.",True,1.0,0.6666666667000001
